area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
"Lauderdale County, AL",3,2,1,"42,390","40,644","1,746",4.1,"48,707",97.6
"Lawrence County, AL",3,2,1,"14,044","13,469",575,4.1,"43,909",88.0
"Lee County, AL",3,2,1,"75,243","72,541","2,702",3.6,"48,937",98.1
"Limestone County, AL",2,2,1,"42,979","41,472","1,507",3.5,"64,863",130.0
"Lowndes County, AL",2,2,1,"3,614","3,354",260,7.2,"33,973",68.1
"Macon County, AL",6,6,0,"7,862","7,442",420,5.3,"32,495",65.1
"Madison County, AL",2,2,1,"181,565","175,352","6,213",3.4,"63,755",127.8
"Marengo County, AL",7,11,0,"7,608","7,237",371,4.9,"37,733",75.6
"Marion County, AL",7,11,0,"12,621","12,114",507,4.0,"37,887",76.0
"Marshall County, AL",4,5,0,"42,925","41,496","1,429",3.3,"46,233",92.7
"Mobile County, AL",2,2,1,"189,004","180,293","8,711",4.6,"43,598",87.4
"Monroe County, AL",7,11,0,"7,187","6,753",434,6.0,"39,556",79.3
"Montgomery County, AL",2,2,1,"105,953","101,782","4,171",3.9,"49,640",99.5
"Morgan County, AL",3,2,1,"57,158","55,192","1,966",3.4,"52,797",105.8
"Perry County, AL",8,4,0,"3,411","3,192",219,6.4,"26,814",53.8
"Pickens County, AL",3,2,1,"7,745","7,395",350,4.5,"37,586",75.4
"Pike County, AL",6,5,0,"15,260","14,579",681,4.5,"37,259",74.7
"Randolph County, AL",6,4,0,"9,581","9,202",379,4.0,"40,546",81.3
"Russell County, AL",2,2,1,"24,019","23,067",952,4.0,"39,104",78.4
"St. Clair County, AL",1,1,1,"40,120","38,742","1,378",3.4,"57,284",114.8
"Shelby County, AL",1,1,1,"114,634","111,425","3,209",2.8,"75,663",151.7
"Sumter County, AL",8,6,0,"4,820","4,543",277,5.7,"27,859",55.9
"Talladega County, AL",4,3,0,"35,332","33,847","1,485",4.2,"41,630",83.5
"Tallapoosa County, AL",6,6,0,"17,959","17,226",733,4.1,"42,205",84.6
"Tuscaloosa County, AL",3,2,1,"102,508","98,826","3,682",3.6,"52,557",105.4
"Walker County, AL",1,1,1,"25,128","24,078","1,050",4.2,"45,434",91.1
"Washington County, AL",8,7,0,"6,711","6,327",384,5.7,"44,424",89.1
"Wilcox County, AL",9,10,0,"2,756","2,498",258,9.4,"25,385",50.9
"Winston County, AL",6,4,0,"9,810","9,405",405,4.1,"41,156",82.5
Alaska,,,,"352,662","329,901","22,761",6.5,"74,912",100.0
"Aleutians East Borough, AK",9,12,0,"2,292","2,222",70,3.1,"70,081",93.6
"Aleutians West Census Area, AK",9,11,0,"3,602","3,477",125,3.5,"82,633",110.3
"Anchorage Borough/municipality, AK",2,2,1,"149,431","141,363","8,068",5.4,"82,113",109.6
"Bethel Census Area, AK",7,11,0,"7,111","6,209",902,12.7,"44,304",59.1
"Bristol Bay Borough, AK",9,12,0,444,417,27,6.1,"77,257",103.1
"Denali Borough, AK",8,7,0,"1,057",975,82,7.8,"75,477",100.8
"Dillingham Census Area, AK",9,12,0,"2,004","1,844",160,8.0,"54,524",72.8
"Fairbanks North Star Borough, AK",3,2,1,"45,476","42,901","2,575",5.7,"74,268",99.1
"Haines Borough, AK",9,12,0,"1,097",992,105,9.6,"58,943",78.7
"Hoonah-Angoon Census Area, AK",9,10,0,"1,146","1,004",142,12.4,"51,188",68.3
"Juneau Borough/city, AK",5,8,0,"17,045","16,305",740,4.3,"79,173",105.7
"Kenai Peninsula Borough, AK",7,11,0,"26,372","24,384","1,988",7.5,"65,439",87.4
"Ketchikan Gateway Borough, AK",7,8,0,"6,971","6,556",415,6.0,"68,309",91.2
"Kodiak Island Borough, AK",7,11,0,"6,099","5,744",355,5.8,"74,109",98.9
"Kusilvak Census Area, AK",9,12,0,"2,685","2,160",525,19.6,"32,728",43.7
"Lake and Peninsula Borough, AK",9,12,0,741,660,81,10.9,"49,403",65.9
"Matanuska-Susitna Borough, AK",2,2,1,"47,728","44,184","3,544",7.4,"74,649",99.6
"Nome Census Area, AK",7,11,0,"4,082","3,622",460,11.3,"55,318",73.8
"North Slope Borough, AK",7,11,0,"3,387","3,157",230,6.8,"89,276",119.2
"Northwest Arctic Borough, AK",7,11,0,"2,916","2,518",398,13.6,"59,337",79.2
"Petersburg Borough, AK",9,11,0,"1,379","1,261",118,8.6,"66,075",88.2
"Prince of Wales-Hyder Census Area, AK",9,10,0,"2,872","2,567",305,10.6,"49,356",65.9
"Prince of Wales-Outer Ketchikan Census Area, AK",,,0,,,,,,
"Sitka Borough/city, AK",7,11,0,"4,331","4,152",179,4.1,"71,825",95.9
"Skagway Municipality, AK",9,12,0,830,752,78,9.4,"74,635",99.6
"Skagway-Hoonah-Angoon Census Area, AK",,,0,,,,,,
"Southeast Fairbanks Census Area, AK",9,12,0,"2,925","2,647",278,9.5,"63,527",84.8
"Valdez-Cordova Census Area, AK",9,11,0,"4,828","4,478",350,7.2,"68,528",91.5
"Wrangell Borough/city, AK",9,12,0,"1,033",962,71,6.9,"57,832",77.2
"Wrangell-Petersburg Census Area, AK",,,0,,,,,,
"Yakutat Borough/city, AK",9,12,0,246,226,20,8.1,"59,523",79.5
"Yukon-Koyukuk Census Area, AK",9,12,0,"2,536","2,165",371,14.6,"38,912",51.9
Arizona,,,,"3,422,583","3,260,518","162,065",4.7,"59,079",100.0
"Apache County, AZ",6,6,0,"20,491","18,485","2,006",9.8,"33,652",57.0
"Cochise County, AZ",3,2,1,"49,482","46,751","2,731",5.5,"49,164",83.2
"Coconino County, AZ",3,2,1,"76,133","72,001","4,132",5.4,"60,187",101.9
"Gila County, AZ",4,3,0,"21,357","20,133","1,224",5.7,"43,585",73.8
"Graham County, AZ",7,8,0,"14,813","14,071",742,5.0,"50,157",84.9
"Greenlee County, AZ",7,9,0,"4,263","4,089",174,4.1,"65,818",111.4
"La Paz County, AZ",6,4,0,"8,896","8,351",545,6.1,"37,350",63.2
"Maricopa County, AZ",1,1,1,"2,217,163","2,127,021","90,142",4.1,"65,234",110.4
"Mohave County, AZ",3,2,1,"84,938","80,173","4,765",5.6,"45,129",76.4
"Navajo County, AZ",4,5,0,"40,224","37,173","3,051",7.6,"40,650",68.8
"Pima County, AZ",2,2,1,"484,209","463,057","21,152",4.4,"53,395",90.4
"Pinal County, AZ",1,1,1,"179,801","170,951","8,850",4.9,"58,848",99.6
"Santa Cruz County, AZ",4,5,0,"19,252","17,505","1,747",9.1,"40,545",68.6
"Yavapai County, AZ",3,2,1,"104,598","100,023","4,575",4.4,"48,758",82.5
"Yuma County, AZ",3,2,1,"96,960","80,735","16,225",16.7,"44,116",74.7
Arkansas,,,,"1,353,305","1,303,995","49,310",3.6,"47,094",100.0
"Arkansas County, AR",6,6,0,"9,079","8,779",300,3.3,"43,887",93.2
"Ashley County, AR",7,11,0,"7,836","7,425",411,5.2,"41,127",87.3
"Baxter County, AR",7,8,0,"16,398","15,729",669,4.1,"39,686",84.3
"Benton County, AR",2,2,1,"134,760","130,888","3,872",2.9,"68,978",146.5
"Boone County, AR",7,8,0,"15,912","15,361",551,3.5,"44,482",94.5
"Bradley County, AR",7,9,0,"4,486","4,293",193,4.3,"37,729",80.1
"Calhoun County, AR",9,8,0,"2,445","2,352",93,3.8,"44,969",95.5
"Carroll County, AR",6,6,0,"12,619","12,217",402,3.2,"45,023",95.6
"Chicot County, AR",7,9,0,"3,359","3,134",225,6.7,"31,787",67.5
"Clark County, AR",7,8,0,"9,700","9,346",354,3.6,"45,408",96.4
"Clay County, AR",7,9,0,"5,806","5,556",250,4.3,"37,687",80.0
"Cleburne County, AR",6,6,0,"9,129","8,721",408,4.5,"44,902",95.3
"Cleveland County, AR",3,2,1,"3,268","3,144",124,3.8,"47,600",101.1
"Columbia County, AR",7,8,0,"9,025","8,603",422,4.7,"40,909",86.9
"Conway County, AR",6,6,0,"8,174","7,821",353,4.3,"44,565",94.6
"Craighead County, AR",3,2,1,"54,562","52,919","1,643",3.0,"45,615",96.9
"Crawford County, AR",2,2,1,"27,004","26,054",950,3.5,"47,363",100.6
"Crittenden County, AR",1,1,1,"21,204","20,294",910,4.3,"42,606",90.5
"Cross County, AR",6,4,0,"7,453","7,150",303,4.1,"41,214",87.5
"Dallas County, AR",6,6,0,"2,850","2,730",120,4.2,"37,259",79.1
"Desha County, AR",6,6,0,"5,427","5,186",241,4.4,"36,132",76.7
"Drew County, AR",6,6,0,"7,847","7,468",379,4.8,"42,494",90.2
"Faulkner County, AR",2,2,1,"62,050","60,058","1,992",3.2,"53,882",114.4
"Franklin County, AR",6,6,0,"7,385","7,125",260,3.5,"43,696",92.8
"Fulton County, AR",9,9,0,"4,823","4,632",191,4.0,"35,630",75.7
"Garland County, AR",3,2,1,"40,826","39,199","1,627",4.0,"43,610",92.6
"Grant County, AR",2,2,1,"8,335","8,079",256,3.1,"52,050",110.5
"Greene County, AR",4,5,0,"19,849","19,165",684,3.4,"46,512",98.8
"Hempstead County, AR",6,6,0,"9,951","9,607",344,3.5,"38,682",82.1
"Hot Spring County, AR",6,5,0,"13,967","13,447",520,3.7,"47,205",100.2
"Howard County, AR",6,6,0,"5,907","5,706",201,3.4,"40,199",85.4
"Independence County, AR",7,8,0,"16,301","15,648",653,4.0,"45,596",96.8
"Izard County, AR",9,10,0,"4,874","4,610",264,5.4,"37,828",80.3
"Jackson County, AR",6,6,0,"5,784","5,437",347,6.0,"36,573",77.7
"Jefferson County, AR",3,2,1,"28,045","26,595","1,450",5.2,"38,596",82.0
"Johnson County, AR",7,9,0,"10,401","9,932",469,4.5,"39,381",83.6
"Lafayette County, AR",8,7,0,"2,492","2,365",127,5.1,"35,527",75.4
"Lawrence County, AR",6,6,0,"6,826","6,562",264,3.9,"40,308",85.6
"Lee County, AR",7,9,0,"2,903","2,765",138,4.8,"28,080",59.6
"Lincoln County, AR",3,2,1,"4,013","3,843",170,4.2,"44,951",95.4
"Little River County, AR",3,2,1,"5,465","5,182",283,5.2,"43,559",92.5
"Logan County, AR",6,6,0,"8,744","8,397",347,4.0,"41,471",88.1
"Lonoke County, AR",2,2,1,"34,206","33,131","1,075",3.1,"56,651",120.3
"Madison County, AR",2,2,1,"7,351","7,140",211,2.9,"42,674",90.6
"Marion County, AR",9,10,0,"6,497","6,231",266,4.1,"36,581",77.7
"Miller County, AR",3,2,1,"19,535","18,602",933,4.8,"42,162",89.5
"Mississippi County, AR",4,3,0,"17,358","16,386",972,5.6,"36,718",78.0
"Monroe County, AR",7,9,0,"2,743","2,629",114,4.2,"32,922",69.9
"Montgomery County, AR",8,7,0,"3,055","2,912",143,4.7,"38,318",81.4
"Nevada County, AR",7,9,0,"3,649","3,524",125,3.4,"37,626",79.9
"Newton County, AR",9,8,0,"3,305","3,195",110,3.3,"36,078",76.6
"Ouachita County, AR",7,8,0,"9,767","9,323",444,4.5,"37,624",79.9
"Perry County, AR",2,2,1,"4,248","4,075",173,4.1,"45,342",96.3
"Phillips County, AR",6,3,0,"6,580","6,185",395,6.0,"29,945",63.6
"Pike County, AR",9,10,0,"4,302","4,129",173,4.0,"41,534",88.2
"Poinsett County, AR",3,2,1,"10,141","9,756",385,3.8,"37,370",79.4
"Polk County, AR",7,11,0,"8,074","7,745",329,4.1,"39,048",82.9
"Pope County, AR",5,8,0,"29,014","27,739","1,275",4.4,"45,788",97.2
"Prairie County, AR",8,7,0,"3,560","3,424",136,3.8,"43,245",91.8
"Pulaski County, AR",2,2,1,"188,642","182,165","6,477",3.4,"49,957",106.1
"Randolph County, AR",7,9,0,"7,169","6,886",283,3.9,"37,799",80.3
"St. Francis County, AR",6,3,0,"8,294","7,876",418,5.0,"33,257",70.6
"Saline County, AR",2,2,1,"58,734","56,950","1,784",3.0,"63,677",135.2
"Scott County, AR",6,6,0,"4,393","4,235",158,3.6,"35,826",76.1
"Searcy County, AR",9,10,0,"2,928","2,802",126,4.3,"31,659",67.2
"Sebastian County, AR",2,2,1,"56,858","54,852","2,006",3.5,"46,843",99.5
"Sevier County, AR",6,6,0,"5,601","5,347",254,4.5,"44,100",93.6
"Sharp County, AR",7,9,0,"5,788","5,514",274,4.7,"36,032",76.5
"Stone County, AR",9,9,0,"4,793","4,579",214,4.5,"34,009",72.2
"Union County, AR",7,8,0,"15,983","15,113",870,5.4,"45,335",96.3
"Van Buren County, AR",8,6,0,"5,891","5,583",308,5.2,"40,486",86.0
"Washington County, AR",2,2,1,"122,628","119,442","3,186",2.6,"50,893",108.1
"White County, AR",4,5,0,"33,643","32,189","1,454",4.3,"44,811",95.2
"Woodruff County, AR",9,10,0,"2,804","2,673",131,4.7,"34,306",72.8
"Yell County, AR",6,5,0,"8,494","8,142",352,4.1,"41,729",88.6
California,,,,"19,280,821","18,460,725","820,096",4.3,"75,250",100.0
"Alameda County, CA",1,1,1,"842,427","816,611","25,816",3.1,"101,744",135.2
"Alpine County, CA",8,4,0,547,522,25,4.6,"55,384",73.6
"Amador County, CA",6,4,0,"14,686","14,084",602,4.1,"58,515",77.8
"Butte County, CA",3,2,1,"101,932","96,749","5,183",5.1,"50,945",67.7
"Calaveras County, CA",6,6,0,"21,188","20,329",859,4.1,"62,984",83.7
"Colusa County, CA",6,4,0,"10,861","9,421","1,440",13.3,"57,249",76.1
"Contra Costa County, CA",1,1,1,"560,913","542,812","18,101",3.2,"101,463",134.8
"Del Norte County, CA",7,8,0,"9,722","9,163",559,5.7,"48,518",64.5
"El Dorado County, CA",1,1,1,"91,131","87,804","3,327",3.7,"81,869",108.8
"Fresno County, CA",2,2,1,"446,744","412,795","33,949",7.6,"52,318",69.5
"Glenn County, CA",6,6,0,"12,782","11,938",844,6.6,"47,365",62.9
"Humboldt County, CA",5,8,0,"62,605","60,329","2,276",3.6,"49,471",65.7
"Imperial County, CA",3,2,1,"71,243","57,811","13,432",18.9,"46,633",62.0
"Inyo County, CA",7,11,0,"8,712","8,371",341,3.9,"53,793",71.5
"Kern County, CA",2,2,1,"386,234","354,890","31,344",8.1,"51,586",68.6
"Kings County, CA",3,2,1,"57,568","53,018","4,550",7.9,"58,255",77.4
"Lake County, CA",4,5,0,"29,105","27,558","1,547",5.3,"45,086",59.9
"Lassen County, CA",7,8,0,"9,866","9,388",478,4.8,"57,705",76.7
"Los Angeles County, CA",1,1,1,"5,095,504","4,860,309","235,195",4.6,"67,986",90.3
"Madera County, CA",3,2,1,"61,331","56,955","4,376",7.1,"53,632",71.3
"Marin County, CA",1,1,1,"139,858","136,433","3,425",2.4,"122,933",163.4
"Mariposa County, CA",8,7,0,"7,659","7,248",411,5.4,"51,402",68.3
"Mendocino County, CA",4,5,0,"39,500","37,913","1,587",4.0,"51,386",68.3
"Merced County, CA",2,2,1,"115,380","105,638","9,742",8.4,"56,169",74.6
"Modoc County, CA",6,6,0,"3,159","2,919",240,7.6,"45,227",60.1
"Mono County, CA",7,11,0,"8,435","8,092",343,4.1,"66,499",88.4
"Monterey County, CA",2,2,1,"222,156","207,917","14,239",6.4,"69,665",92.6
"Napa County, CA",3,2,1,"73,861","71,664","2,197",3.0,"85,624",113.8
"Nevada County, CA",4,3,0,"48,618","46,904","1,714",3.5,"66,681",88.6
"Orange County, CA",1,1,1,"1,617,879","1,569,753","48,126",3.0,"89,373",118.8
"Placer County, CA",1,1,1,"185,830","179,858","5,972",3.2,"89,175",118.5
"Plumas County, CA",7,12,0,"7,823","7,228",595,7.6,"55,079",73.2
"Riverside County, CA",1,1,1,"1,091,375","1,042,673","48,702",4.5,"66,793",88.8
"Sacramento County, CA",1,1,1,"704,967","677,544","27,423",3.9,"69,475",92.3
"San Benito County, CA",1,1,1,"31,236","29,644","1,592",5.1,"80,063",106.4
"San Bernardino County, CA",1,1,1,"956,083","916,705","39,378",4.1,"63,310",84.1
"San Diego County, CA",1,1,1,"1,581,525","1,528,064","53,461",3.4,"78,777",104.7
"San Francisco County/city, CA",1,1,1,"569,323","555,609","13,714",2.4,"110,601",147.0
"San Joaquin County, CA",2,2,1,"324,531","304,620","19,911",6.1,"63,567",84.5
"San Luis Obispo County, CA",2,2,1,"140,257","136,020","4,237",3.0,"70,626",93.9
"San Mateo County, CA",1,1,1,"449,479","439,322","10,157",2.3,"122,930",163.4
"Santa Barbara County, CA",2,2,1,"215,479","206,909","8,570",4.0,"75,646",100.5
"Santa Clara County, CA",1,1,1,"1,043,641","1,015,929","27,712",2.7,"125,933",167.4
"Santa Cruz County, CA",2,2,1,"141,429","134,349","7,080",5.0,"84,213",111.9
"Shasta County, CA",3,2,1,"73,978","70,254","3,724",5.0,"53,908",71.6
"Sierra County, CA",8,7,0,"1,279","1,201",78,6.1,"52,308",69.5
"Siskiyou County, CA",6,6,0,"17,383","16,205","1,178",6.8,"47,560",63.2
"Solano County, CA",2,2,1,"209,280","200,997","8,283",4.0,"82,808",110.0
"Sonoma County, CA",2,2,1,"260,893","253,626","7,267",2.8,"81,002",107.6
"Stanislaus County, CA",2,2,1,"243,356","227,524","15,832",6.5,"59,616",79.2
"Sutter County, CA",3,2,1,"44,890","41,449","3,441",7.7,"57,879",76.9
"Tehama County, CA",4,5,0,"25,517","24,046","1,471",5.8,"47,572",63.2
"Trinity County, CA",8,6,0,"4,680","4,410",270,5.8,"40,680",54.1
"Tulare County, CA",2,2,1,"203,267","183,303","19,964",9.8,"48,763",64.8
"Tuolumne County, CA",4,5,0,"21,212","20,217",995,4.7,"56,500",75.1
"Ventura County, CA",2,2,1,"423,557","407,278","16,279",3.8,"84,170",111.9
"Yolo County, CA",1,1,1,"107,666","103,019","4,647",4.3,"67,804",90.1
"Yuba County, CA",3,2,1,"29,275","27,381","1,894",6.5,"47,504",63.1
Colorado,,,,"3,080,661","2,983,498","97,163",3.2,"71,949",100.0
"Adams County, CO",1,1,1,"269,228","260,239","8,989",3.3,"70,199",97.6
"Alamosa County, CO",7,11,0,"8,566","8,232",334,3.9,"42,897",59.6
"Arapahoe County, CO",1,1,1,"360,142","349,003","11,139",3.1,"76,665",106.6
"Archuleta County, CO",7,10,0,"6,869","6,640",229,3.3,"53,337",74.1
"Baca County, CO",9,12,0,"2,172","2,133",39,1.8,"38,294",53.2
"Bent County, CO",7,12,0,"1,907","1,847",60,3.1,"37,659",52.3
"Boulder County, CO",2,2,1,"192,810","187,527","5,283",2.7,"83,591",116.2
"Broomfield County/city, CO",1,1,1,"39,581","38,465","1,116",2.8,"96,924",134.7
"Chaffee County, CO",7,11,0,"9,620","9,369",251,2.6,"56,168",78.1
"Cheyenne County, CO",9,12,0,"1,140","1,120",20,1.8,"54,504",75.8
"Clear Creek County, CO",1,1,1,"5,977","5,802",175,2.9,"74,019",102.9
"Conejos County, CO",9,12,0,"4,098","3,930",168,4.1,"38,777",53.9
"Costilla County, CO",9,12,0,"1,841","1,762",79,4.3,"31,557",43.9
"Crowley County, CO",8,7,0,"1,493","1,430",63,4.2,"35,880",49.9
"Custer County, CO",8,7,0,"2,083","2,009",74,3.6,"55,242",76.8
"Delta County, CO",6,6,0,"14,412","13,852",560,3.9,"46,786",65.0
"Denver County/city, CO",1,1,1,"411,594","399,026","12,568",3.1,"68,069",94.6
"Dolores County, CO",9,12,0,"1,148","1,116",32,2.8,"47,482",66.0
"Douglas County, CO",1,1,1,"191,729","186,463","5,266",2.7,"120,670",167.7
"Eagle County, CO",5,8,0,"36,137","35,195",942,2.6,"86,896",120.8
"Elbert County, CO",1,1,1,"15,034","14,628",406,2.7,"98,247",136.6
"El Paso County, CO",2,2,1,"335,225","322,516","12,709",3.8,"67,923",94.4
"Fremont County, CO",4,5,0,"15,054","14,295",759,5.0,"47,885",66.6
"Garfield County, CO",5,8,0,"32,376","31,380",996,3.1,"74,421",103.4
"Gilpin County, CO",1,1,1,"3,724","3,633",91,2.4,"72,949",101.4
"Grand County, CO",7,10,0,"9,912","9,656",256,2.6,"69,214",96.2
"Gunnison County, CO",7,11,0,"11,349","11,076",273,2.4,"61,268",85.2
"Hinsdale County, CO",9,12,0,444,432,12,2.7,"62,149",86.4
"Huerfano County, CO",6,6,0,"2,584","2,419",165,6.4,"38,242",53.2
"Jackson County, CO",9,10,0,989,963,26,2.6,"51,457",71.5
"Jefferson County, CO",1,1,1,"330,997","321,346","9,651",2.9,"85,550",118.9
"Kiowa County, CO",9,12,0,944,927,17,1.8,"44,704",62.1
"Kit Carson County, CO",7,11,0,"4,292","4,207",85,2.0,"48,342",67.2
"Lake County, CO",6,4,0,"4,801","4,678",123,2.6,"51,802",72.0
"La Plata County, CO",4,5,0,"32,278","31,354",924,2.9,"66,219",92.0
"Larimer County, CO",2,2,1,"201,302","195,848","5,454",2.7,"71,306",99.1
"Las Animas County, CO",7,11,0,"6,553","6,256",297,4.5,"41,485",57.7
"Lincoln County, CO",8,7,0,"2,460","2,402",58,2.4,"46,690",64.9
"Logan County, CO",7,8,0,"11,216","10,913",303,2.7,"53,168",73.9
"Mesa County, CO",3,2,1,"75,614","72,652","2,962",3.9,"51,132",71.1
"Mineral County, CO",9,12,0,511,498,13,2.5,"60,210",83.7
"Moffat County, CO",7,8,0,"7,435","7,171",264,3.6,"59,500",82.7
"Montezuma County, CO",6,6,0,"12,982","12,379",603,4.6,"50,180",69.7
"Montrose County, CO",4,5,0,"21,631","20,861",770,3.6,"52,576",73.1
"Morgan County, CO",6,3,0,"16,352","15,892",460,2.8,"55,387",77.0
"Otero County, CO",6,6,0,"8,401","7,990",411,4.9,"40,064",55.7
"Ouray County, CO",9,10,0,"2,387","2,307",80,3.4,"68,900",95.8
"Park County, CO",1,1,1,"11,031","10,729",302,2.7,"72,121",100.2
"Phillips County, CO",9,10,0,"2,594","2,546",48,1.9,"52,367",72.8
"Pitkin County, CO",7,8,0,"11,234","10,821",413,3.7,"89,034",123.7
"Prowers County, CO",7,11,0,"6,288","6,087",201,3.2,"42,455",59.0
"Pueblo County, CO",3,2,1,"75,547","72,004","3,543",4.7,"48,308",67.1
"Rio Blanco County, CO",9,10,0,"2,940","2,820",120,4.1,"63,411",88.1
"Rio Grande County, CO",7,11,0,"5,425","5,167",258,4.8,"44,171",61.4
"Routt County, CO",7,8,0,"16,238","15,815",423,2.6,"81,033",112.6
"Saguache County, CO",9,12,0,"3,535","3,374",161,4.6,"36,869",51.2
"San Juan County, CO",9,10,0,523,508,15,2.9,"46,878",65.2
"San Miguel County, CO",9,12,0,"5,563","5,377",186,3.3,"69,458",96.5
"Sedgwick County, CO",9,10,0,"1,189","1,159",30,2.5,"40,009",55.6
"Summit County, CO",5,8,0,"22,506","22,030",476,2.1,"80,078",111.3
"Teller County, CO",2,2,1,"12,542","12,096",446,3.6,"64,850",90.1
"Washington County, CO",9,10,0,"3,055","2,982",73,2.4,"47,869",66.5
"Weld County, CO",2,2,1,"165,053","160,252","4,801",2.9,"75,629",105.1
"Yuma County, CO",7,11,0,"6,009","5,893",116,1.9,"53,253",74.0
Connecticut,,,,"1,900,664","1,821,891","78,773",4.1,"76,366",100.0
"Fairfield County, CT",2,2,1,"479,179","460,045","19,134",4.0,"91,183",119.4
"Hartford County, CT",1,1,1,"478,660","458,138","20,522",4.3,"73,037",95.6
"Litchfield County, CT",4,3,0,"104,604","100,568","4,036",3.9,"76,304",99.9
"Middlesex County, CT",1,1,1,"92,811","89,517","3,294",3.5,"88,709",116.2
"New Haven County, CT",2,2,1,"458,799","438,485","20,314",4.4,"67,720",88.7
"New London County, CT",2,2,1,"136,856","131,394","5,462",4.0,"67,790",88.8
"Tolland County, CT",1,1,1,"86,174","83,055","3,119",3.6,"89,584",117.3
"Windham County, CT",2,2,1,"63,584","60,689","2,895",4.6,"65,182",85.4
Delaware,,,,"481,773","463,542","18,231",3.8,"65,467",100.0
"Kent County, DE",3,2,1,"78,063","74,802","3,261",4.2,"54,980",84.0
"New Castle County, DE",1,1,1,"297,784","286,811","10,973",3.7,"69,562",106.3
"Sussex County, DE",2,2,1,"105,928","101,930","3,998",3.8,"59,821",91.4
District of Columbia,,,,"404,739","381,703","23,036",5.7,"82,533",100.0
District of Columbia,1,1,1,"404,739","381,703","23,036",5.7,"82,533",100.0
Florida,,,,"10,173,537","9,808,656","364,881",3.6,"55,433",100.0
"Alachua County, FL",2,2,1,"137,170","132,623","4,547",3.3,"51,026",92.0
